D1:LL4007:D_MELF:18.00:116.50:0.00
D1:LL4007:D_MELF:139.00:116.50:0.00
D1:LL4007:D_MELF:18.00:36.50:0.00
D1:LL4007:D_MELF:139.00:36.50:0.00
D2:LL4007:D_MELF:122.10:93.50:180.00
D2:LL4007:D_MELF:243.10:93.50:180.00
D2:LL4007:D_MELF:122.10:13.50:180.00
D2:LL4007:D_MELF:243.10:13.50:180.00
D3:LL4007:D_MELF:139.00:156.50:0.00
D3:LL4007:D_MELF:18.00:76.50:0.00
D3:LL4007:D_MELF:18.00:156.50:0.00
D3:LL4007:D_MELF:139.00:76.50:0.00
D4:LL4007:D_MELF:122.10:53.50:180.00
D4:LL4007:D_MELF:243.10:53.50:180.00
D4:LL4007:D_MELF:122.10:133.50:180.00
D4:LL4007:D_MELF:243.10:133.50:180.00
R1:1k:R_1206:242.05:10.30:0.00
R1:1k:R_1206:242.05:90.30:0.00
R1:1k:R_1206:121.05:90.30:0.00
R1:1k:R_1206:121.05:10.30:0.00
R2:470R:R_1206:13.95:39.50:0.00
R2:470R:R_1206:134.95:39.50:0.00
R2:470R:R_1206:13.95:119.50:0.00
R2:470R:R_1206:134.95:119.50:0.00
R3:470R:R_1206:246.95:10.30:180.00
R3:470R:R_1206:125.95:10.30:180.00
R3:470R:R_1206:125.95:90.30:180.00
R3:470R:R_1206:246.95:90.30:180.00
R4:1k:R_1206:18.95:39.50:180.00
R4:1k:R_1206:139.95:39.50:180.00
R4:1k:R_1206:18.95:119.50:180.00
R4:1k:R_1206:139.95:119.50:180.00
R6:1k:R_1206:121.05:50.30:0.00
R6:1k:R_1206:242.05:50.30:0.00
R6:1k:R_1206:242.05:130.30:0.00
R6:1k:R_1206:121.05:130.30:0.00
R7:470R:R_1206:134.95:159.50:0.00
R7:470R:R_1206:13.95:79.50:0.00
R7:470R:R_1206:134.95:79.50:0.00
R7:470R:R_1206:13.95:159.50:0.00
R8:470R:R_1206:125.95:50.30:180.00
R8:470R:R_1206:246.95:50.30:180.00
R8:470R:R_1206:125.95:130.30:180.00
R8:470R:R_1206:246.95:130.30:180.00
R9:1k:R_1206:18.95:79.50:180.00
R9:1k:R_1206:139.95:79.50:180.00
R9:1k:R_1206:18.95:159.50:180.00
R9:1k:R_1206:139.95:159.50:180.00
REF**:Fiducial_1mm_Mask2mm:Fiducial_1mm_Mask2mm:262.00:170.00:0.00
REF**:Fiducial_1mm_Mask2mm:Fiducial_1mm_Mask2mm:0.00:0.00:0.00
REF01:111x208:Fiducial_1mm_Mask2mm:24.00:12.00:0.00
REF02:111x89:Fiducial_1mm_Mask2mm:24.00:131.00:0.00
REF03:327x61:Fiducial_1mm_Mask2mm:240.00:159.00:0.00
REF04:327x181:Fiducial_1mm_Mask2mm:240.00:39.00:0.00
