D1:LL4007:D_MELF:194.60:158.00:0.00
D1:LL4007:D_MELF:132.60:158.00:0.00
D1:LL4007:D_MELF:70.60:76.00:0.00
D1:LL4007:D_MELF:194.60:76.00:0.00
D1:LL4007:D_MELF:8.60:158.00:0.00
D1:LL4007:D_MELF:8.60:76.00:0.00
D1:LL4007:D_MELF:132.60:76.00:0.00
D1:LL4007:D_MELF:70.60:158.00:0.00
D2:LL4007:D_MELF:54.60:47.00:180.00
D2:LL4007:D_MELF:54.60:129.00:180.00
D2:LL4007:D_MELF:240.60:47.00:180.00
D2:LL4007:D_MELF:116.60:129.00:180.00
D2:LL4007:D_MELF:178.60:129.00:180.00
D2:LL4007:D_MELF:116.60:47.00:180.00
D2:LL4007:D_MELF:240.60:129.00:180.00
D2:LL4007:D_MELF:178.60:47.00:180.00
D3:LL4007:D_MELF:8.60:35.00:0.00
D3:LL4007:D_MELF:8.60:117.00:0.00
D3:LL4007:D_MELF:194.60:35.00:0.00
D3:LL4007:D_MELF:70.60:117.00:0.00
D3:LL4007:D_MELF:132.60:117.00:0.00
D3:LL4007:D_MELF:194.60:117.00:0.00
D3:LL4007:D_MELF:70.60:35.00:0.00
D3:LL4007:D_MELF:132.60:35.00:0.00
D4:LL4007:D_MELF:116.60:88.00:180.00
D4:LL4007:D_MELF:178.60:6.00:180.00
D4:LL4007:D_MELF:240.60:88.00:180.00
D4:LL4007:D_MELF:178.60:88.00:180.00
D4:LL4007:D_MELF:54.60:6.00:180.00
D4:LL4007:D_MELF:54.60:88.00:180.00
D4:LL4007:D_MELF:240.60:6.00:180.00
D4:LL4007:D_MELF:116.60:6.00:180.00
R1:1k:R_1206:53.55:126.00:0.00
R1:1k:R_1206:115.55:126.00:0.00
R1:1k:R_1206:53.55:44.00:0.00
R1:1k:R_1206:115.55:44.00:0.00
R1:1k:R_1206:239.55:44.00:0.00
R1:1k:R_1206:177.55:126.00:0.00
R1:1k:R_1206:239.55:126.00:0.00
R1:1k:R_1206:177.55:44.00:0.00
R2:470R:R_1206:190.55:79.00:0.00
R2:470R:R_1206:128.55:79.00:0.00
R2:470R:R_1206:66.55:161.00:0.00
R2:470R:R_1206:66.55:79.00:0.00
R2:470R:R_1206:128.55:161.00:0.00
R2:470R:R_1206:190.55:161.00:0.00
R2:470R:R_1206:4.55:79.00:0.00
R2:470R:R_1206:4.55:161.00:0.00
R3:470R:R_1206:182.45:126.00:180.00
R3:470R:R_1206:120.45:44.00:180.00
R3:470R:R_1206:244.45:126.00:180.00
R3:470R:R_1206:58.45:126.00:180.00
R3:470R:R_1206:182.45:44.00:180.00
R3:470R:R_1206:58.45:44.00:180.00
R3:470R:R_1206:120.45:126.00:180.00
R3:470R:R_1206:244.45:44.00:180.00
R4:1k:R_1206:9.55:161.00:180.00
R4:1k:R_1206:71.55:79.00:180.00
R4:1k:R_1206:133.55:79.00:180.00
R4:1k:R_1206:195.55:161.00:180.00
R4:1k:R_1206:9.55:79.00:180.00
R4:1k:R_1206:195.55:79.00:180.00
R4:1k:R_1206:133.55:161.00:180.00
R4:1k:R_1206:71.55:161.00:180.00
R6:1k:R_1206:239.55:3.00:0.00
R6:1k:R_1206:53.55:85.00:0.00
R6:1k:R_1206:53.55:3.00:0.00
R6:1k:R_1206:115.55:85.00:0.00
R6:1k:R_1206:177.55:3.00:0.00
R6:1k:R_1206:239.55:85.00:0.00
R6:1k:R_1206:115.55:3.00:0.00
R6:1k:R_1206:177.55:85.00:0.00
R7:470R:R_1206:128.55:120.00:0.00
R7:470R:R_1206:190.55:120.00:0.00
R7:470R:R_1206:4.55:120.00:0.00
R7:470R:R_1206:66.55:120.00:0.00
R7:470R:R_1206:190.55:38.00:0.00
R7:470R:R_1206:4.55:38.00:0.00
R7:470R:R_1206:128.55:38.00:0.00
R7:470R:R_1206:66.55:38.00:0.00
R8:470R:R_1206:58.45:85.00:180.00
R8:470R:R_1206:120.45:3.00:180.00
R8:470R:R_1206:182.45:3.00:180.00
R8:470R:R_1206:244.45:3.00:180.00
R8:470R:R_1206:120.45:85.00:180.00
R8:470R:R_1206:182.45:85.00:180.00
R8:470R:R_1206:244.45:85.00:180.00
R8:470R:R_1206:58.45:3.00:180.00
R9:1k:R_1206:71.55:120.00:180.00
R9:1k:R_1206:195.55:120.00:180.00
R9:1k:R_1206:195.55:38.00:180.00
R9:1k:R_1206:133.55:120.00:180.00
R9:1k:R_1206:9.55:38.00:180.00
R9:1k:R_1206:71.55:38.00:180.00
R9:1k:R_1206:133.55:38.00:180.00
R9:1k:R_1206:9.55:120.00:180.00
REF**:Fiducial_1mm_Mask2mm:Fiducial_1mm_Mask2mm:-10.00:-7.00:0.00
REF**:Fiducial_1mm_Mask2mm:Fiducial_1mm_Mask2mm:258.00:172.00:0.00
REF01:78x213:Fiducial_1mm_Mask2mm:-2.00:-2.00:0.00
REF02:78x45:Fiducial_1mm_Mask2mm:-2.00:166.00:0.00
REF03:330x45:Fiducial_1mm_Mask2mm:250.00:166.00:0.00
REF04:330x213:Fiducial_1mm_Mask2mm:250.00:-2.00:0.00
